lat,long,full_taxa
13.68333333,-89.28333333,Phaseolus acutifolius A. Gray
13.71666667,-88.91666667,Phaseolus acutifolius A. Gray
13.7,-88.96666667,Phaseolus lunatus L.
13.96666667,-89.66666667,Phaseolus lunatus L.
-1.01666667,-79.5,Phaseolus lunatus L.
-4.56666667,-81.26666667,Phaseolus lunatus L.
-5.2,-80.61666667,Phaseolus lunatus L.
9.83333333,-83.9,Phaseolus lunatus L.
35.78305556,-110.5,Phaseolus lunatus L.
31.51666667,77.8,Phaseolus coccineus L.
-14.68305556,-41.03305556,Phaseolus lunatus L.
-20.65,-42.85,Phaseolus lunatus L.
-20.75,-42.88305556,Phaseolus lunatus L.
-20.86694444,-42.8,Phaseolus lunatus L.
-20.83305556,-42.65,Phaseolus lunatus L.
-20.66694444,-43.1,Phaseolus lunatus L.
-19.53305556,-40.61694444,Phaseolus lunatus L.
-19.33305556,-41.25,Phaseolus lunatus L.
-19.5,-41.06694444,Phaseolus lunatus L.
-9.4,-36.23305556,Phaseolus lunatus L.
30.78305556,-110.8830556,Phaseolus acutifolius A. Gray
32.13305556,-112.0830556,Phaseolus acutifolius A. Gray
-20.75,-41.23305556,Phaseolus lunatus L.
-12.93305556,-46.95,Phaseolus lunatus L.
-18.06694444,-48.26694444,Phaseolus lunatus L.
-12.41694444,-46.43305556,Phaseolus lunatus L.
14.78305556,-90.78305556,Phaseolus lunatus L.
-7.16694444,-79.45,Phaseolus lunatus L.
27.31694444,-112.2830556,Phaseolus coccineus L.
14.76666667,-91,Phaseolus dumosus Macfad.
14.73333333,-86.08333333,Phaseolus vulgaris L.
15.53333333,-86.38333333,Phaseolus vulgaris L.
38.08333333,46.3,Phaseolus vulgaris L.
34.8,48.5,Phaseolus vulgaris L.
19.55,-99.2,Phaseolus vulgaris L.
50.56666667,4.68333333,Phaseolus vulgaris L.
14.63333333,-90.51666667,Phaseolus vulgaris L.
16.65,-98.1,Phaseolus vulgaris L.
37.2,28.36666667,Phaseolus vulgaris L.
36.91666667,28.66666667,Phaseolus vulgaris L.
39.65,27.88333333,Phaseolus vulgaris L.
38.6,27.43333333,Phaseolus vulgaris L.
38.41666667,27.15,Phaseolus vulgaris L.
41.66666667,26.56666667,Phaseolus vulgaris L.
40.06666667,29.21666667,Phaseolus vulgaris L.
40.65,35.85,Phaseolus vulgaris L.
40.6,36.96666667,Phaseolus vulgaris L.
41,39.71666667,Phaseolus vulgaris L.
41.18333333,41.81666667,Phaseolus vulgaris L.
29.95,77.8,Phaseolus vulgaris L.
37.13333333,38.76666667,Phaseolus vulgaris L.
38.71666667,35.5,Phaseolus vulgaris L.
39.73333333,39.48333333,Phaseolus vulgaris L.
41.2,27.1,Phaseolus vulgaris L.
39.93333333,32.86666667,Phaseolus vulgaris L.
25.9,91.88333333,Phaseolus vulgaris L.
44.85,20.38333333,Phaseolus vulgaris L.
9,38.83333333,Phaseolus vulgaris L.
14.56666667,-90.73333333,Phaseolus vulgaris L.
18.88333333,-96.93333333,Phaseolus vulgaris L.
14.31666667,-89.71666667,Phaseolus vulgaris L.
16.75,-93.11666667,Phaseolus vulgaris L.
41.28333333,36.33333333,Phaseolus vulgaris L.
6.25,-75.58333333,Phaseolus vulgaris L.
-1.28333333,36.81666667,Phaseolus vulgaris L.
-9.15,-75.93333333,Phaseolus vulgaris L.
37.93333333,47.53333333,Phaseolus vulgaris L.
16.75,-92.63333333,Phaseolus vulgaris L.
16.26666667,-92.13333333,Phaseolus vulgaris L.
16.5,-92.5,Phaseolus vulgaris L.
31.31666667,48.7,Phaseolus vulgaris L.
51.81666667,11.28333333,Phaseolus vulgaris L.
-1.46666667,29.2,Phaseolus vulgaris L.
35.66666667,51.43333333,Phaseolus vulgaris L.
42.85,-2.66666667,Phaseolus vulgaris L.
13.7,-89.2,Phaseolus vulgaris L.
19.28805556,-99.66694444,Phaseolus vulgaris L.
9.86666667,-83.91666667,Phaseolus vulgaris L.
14.76666667,-87.33333333,Phaseolus vulgaris L.
-53.3,-70.36666667,Phaseolus vulgaris L.
16.25,-89.03333333,Phaseolus vulgaris L.
14.41666667,-83.71666667,Phaseolus vulgaris L.
14.9,-92.28333333,Phaseolus vulgaris L.
14.93333333,-91.11666667,Phaseolus vulgaris L.
14.83333333,-91.51666667,Phaseolus vulgaris L.
14.8,-89.55,Phaseolus vulgaris L.
15.23333333,-90.31666667,Phaseolus vulgaris L.
14.5,-90.71694444,Phaseolus vulgaris L.
14.9,-91.53333333,Phaseolus vulgaris L.
11.86666667,-86.03333333,Phaseolus vulgaris L.
11.76666667,-86.05,Phaseolus vulgaris L.
11.43333333,-85.85,Phaseolus vulgaris L.
13.1,-86,Phaseolus vulgaris L.
13.08333333,-86.38333333,Phaseolus vulgaris L.
13.61666667,-86.51666667,Phaseolus vulgaris L.
14.63333333,-89.98333333,Phaseolus vulgaris L.
13.80472222,-89.45111111,Phaseolus vulgaris L.
14.63333333,-90.7,Phaseolus vulgaris L.
14.83333333,-90.13333333,Phaseolus vulgaris L.
14.28333333,-89.9,Phaseolus vulgaris L.
20.43333333,-101.7333333,Phaseolus vulgaris L.
17.08333333,-96.73333333,Phaseolus vulgaris L.
17.25,-96.88333333,Phaseolus vulgaris L.
19.4,-99.15,Phaseolus vulgaris L.
26.75,-109.7830556,Phaseolus vulgaris L.
35.25,-107.75,Phaseolus vulgaris L.
36.11666667,-109.8833333,Phaseolus vulgaris L.
35.53333333,-108.7333333,Phaseolus vulgaris L.
16.56666667,-92.8,Phaseolus vulgaris L.
16.53333333,-92.48333333,Phaseolus vulgaris L.
16.98333333,-92.91666667,Phaseolus vulgaris L.
20.03333333,-100.6666667,Phaseolus vulgaris L.
18.36666667,-99.53333333,Phaseolus vulgaris L.
20.55,-103.45,Phaseolus vulgaris L.
21.18333333,-102.8833333,Phaseolus vulgaris L.
21.18333333,-102.4666667,Phaseolus vulgaris L.
22.35,-103.2166667,Phaseolus vulgaris L.
17.33333333,-96.48333333,Phaseolus vulgaris L.
18.45,-97.38333333,Phaseolus vulgaris L.
19.88333333,-97.58333333,Phaseolus vulgaris L.
20.45,-97.31666667,Phaseolus vulgaris L.
15.08333333,-87.28333333,Phaseolus vulgaris L.
23.16666667,-102.8833333,Phaseolus vulgaris L.
19.98333333,-102.2666667,Phaseolus vulgaris L.
19.7,-103.4833333,Phaseolus vulgaris L.
19.41666667,-102.0666667,Phaseolus vulgaris L.
18.33333333,-97.25,Phaseolus vulgaris L.
-23.11666667,-47.08333333,Phaseolus vulgaris L.
37.86666667,32.51666667,Phaseolus vulgaris L.
40.73333333,31.61666667,Phaseolus vulgaris L.
40.16666667,27.95,Phaseolus vulgaris L.
-9.16666667,-36.68333333,Phaseolus vulgaris L.
36.4,-105.5666667,Phaseolus vulgaris L.
31.8,77.11666667,Phaseolus vulgaris L.
32.66666667,51.63333333,Phaseolus vulgaris L.
34.31666667,47.06666667,Phaseolus vulgaris L.
40.18333333,29.06666667,Phaseolus vulgaris L.
20.33333333,-102.3,Phaseolus vulgaris L.
20.06694444,-102.0830556,Phaseolus vulgaris L.
20.61666667,-101.7166667,Phaseolus vulgaris L.
18.43305556,-100.7669444,Phaseolus vulgaris L.
20.7,-102.35,Phaseolus vulgaris L.
19.23333333,-99.08333333,Phaseolus vulgaris L.
14.76694444,-91.18305556,Phaseolus vulgaris L.
14.95,-92.25,Phaseolus vulgaris L.
15.33333333,-91.33333333,Phaseolus vulgaris L.
-3.01666667,30.71666667,Phaseolus vulgaris L.
-2.48333333,30.08333333,Phaseolus vulgaris L.
-1.18333333,29.43333333,Phaseolus vulgaris L.
-1.25,29.5,Phaseolus vulgaris L.
37.43305556,-122.1330556,Phaseolus vulgaris L.
20.3,-97.96694444,Phaseolus vulgaris L.
19.05,-98.2,Phaseolus vulgaris L.
22.78305556,-102.5830556,Phaseolus vulgaris L.
20.31694444,-105.3669444,Phaseolus vulgaris L.
19.76694444,-97.23305556,Phaseolus vulgaris L.
20.18305556,-98.05,Phaseolus vulgaris L.
15.1,-90.26694444,Phaseolus vulgaris L.
14.63305556,-89.45,Phaseolus vulgaris L.
0.8,-77.71694444,Phaseolus vulgaris L.
-23.65,-65.41666667,Phaseolus vulgaris L.
41.69388889,20.36694444,Phaseolus vulgaris L.
19.81666667,-97.35,Phaseolus vulgaris L.
37.31666667,49.58333333,Phaseolus vulgaris L.
19.15,-96.95,Phaseolus vulgaris L.
19.36666667,-103.7166667,Phaseolus vulgaris L.
15.33333333,-91.46666667,Phaseolus vulgaris L.
14.08694444,-87.0925,Phaseolus vulgaris L.
-3.5833,-79.2167,Phaseolus lunatus L.
38.45666667,70.05638889,Phaseolus spp.
13.68333333,-89.21666667,Phaseolus lunatus L.
1.6,-77.16666667,Phaseolus lunatus L.
9.91666667,-84.21666667,Phaseolus lunatus L.
14.63305556,-89.98305556,Phaseolus coccineus L.
18.6,-98.45,Phaseolus coccineus L.
19.43388889,-99.13888889,Phaseolus coccineus L.
-16.01694444,-41.26694444,Phaseolus lunatus L.
-8.11694444,-35.3,Phaseolus lunatus L.
-20.66694444,-42.53305556,Phaseolus lunatus L.
-20.1,-43.05,Phaseolus lunatus L.
-20.21694444,-42.65,Phaseolus lunatus L.
-22.21694444,-54.8,Phaseolus lunatus L.
-16.03305556,-49.8,Phaseolus lunatus L.
20.36666667,-89.78333333,Phaseolus lunatus L.
-22.43305556,-42.98305556,Phaseolus lunatus L.
-13.05,-46.88305556,Phaseolus lunatus L.
27.11,-109.44,Phaseolus acutifolius A. Gray
-31.76694444,-52.33305556,Phaseolus lunatus L.
14.76666667,-91.15,Phaseolus dumosus Macfad.
15.48333333,-90.36666667,Phaseolus dumosus Macfad.
24.45,-104,Phaseolus dumosus Macfad.
25.01666667,102.7333333,Phaseolus vulgaris L.
15.1,-87.16666667,Phaseolus vulgaris L.
13.26666667,-87,Phaseolus vulgaris L.
14.3,-88.38333333,Phaseolus vulgaris L.
14.06666667,-88.68333333,Phaseolus vulgaris L.
49.53333333,-96.68333333,Phaseolus vulgaris L.
-8.41694444,-76.38305556,Phaseolus vulgaris L.
18.51666667,73.9,Phaseolus vulgaris L.
37.06666667,30.21666667,Phaseolus vulgaris L.
37.85,27.85,Phaseolus vulgaris L.
41.73333333,27.2,Phaseolus vulgaris L.
39.78333333,26.33333333,Phaseolus vulgaris L.
39.3,26.68333333,Phaseolus vulgaris L.
40.33333333,27.96666667,Phaseolus vulgaris L.
41.41666667,41.4,Phaseolus vulgaris L.
37.01666667,37.76666667,Phaseolus vulgaris L.
38.35,38.31666667,Phaseolus vulgaris L.
30.36666667,78.5,Phaseolus vulgaris L.
40.55,34.96666667,Phaseolus vulgaris L.
38.03333333,44.83333333,Phaseolus vulgaris L.
41.9,12.48333333,Phaseolus vulgaris L.
31.7,76.91666667,Phaseolus vulgaris L.
11,37,Phaseolus vulgaris L.
13.91666667,-89.85,Phaseolus vulgaris L.
